regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
random_dates,1,salinity,2,647,60,0.8663258665415481,1.7091749241224925,0.8682249913216641,1.5467950000000006,30.948869853275003
random_dates,1,salinity,3,602,95,0.7252469659447489,2.109051556802231,0.8228439977659858,1.5537536541459818,26.230715720379372
random_dates,1,Chl_a_log1p,1,680,127,0.5683928538060398,0.4249028527219463,0.5772088654245153,0.45400171796196076,1.0886707347926725
random_dates,1,Chl_a_log1p,2,654,85,0.7544151774442743,0.33492297710358176,0.6350850578179925,0.4341682345049538,0.9168388157427391
random_dates,1,Chl_a_log1p,3,663,139,0.6293699938568136,0.44220340397178504,0.4302164539690507,0.5743725117072909,1.0705134656356916
random_dates,1,Caffeine,1,638,95,-4.391001663375074,34.51166614532471,-0.2803517870728198,16.507368421052636,576.2687601108033
random_dates,1,Caffeine,2,641,94,0.4096787514293273,22.070682355190847,0.4470434363120497,18.694680851063833,2749.95417836125
random_dates,1,Caffeine,3,547,56,0.1579258460465215,20.14911126749856,0.06396613268183171,22.27857142857143,2175.5584917091837
random_dates,1,Metoprolol,1,613,75,0.14089954351567047,14.882985943158468,-1.481629243236596,16.929333333333332,702.395064888889
random_dates,1,Metoprolol,2,542,82,0.14921064309081233,14.758114389966172,-0.011133123142394341,14.497560975609755,1079.7256231409874
random_dates,1,Metoprolol,3,569,127,0.22589949321955116,12.798449742324708,-1.3789147317460517,12.412598425196851,624.7060896521793
random_dates,1,Atrazine,1,608,93,0.1484439006521282,0.3248886244242209,0.018012836761730933,0.27419354838709675,0.9669880911087988
random_dates,1,Atrazine,2,637,116,0.20412873187391334,0.216878227571453,-0.2745409462220816,0.22413793103448276,0.6270005945303206
random_dates,2,temperature,1,674,102,0.6175117383410551,1.7618150654640852,0.9205749956254914,0.6658517903491833,11.833119246749002
random_dates,2,temperature,2,522,99,0.91530882860816,1.0082403203251384,0.8518364335261909,1.4460414141414144,25.518019265591267
random_dates,2,temperature,3,544,96,0.9523811859972096,1.3014619568188985,0.8921916229334883,2.245052083333333,65.91243161805556
random_dates,2,salinity,1,592,144,0.5924609704743143,2.402354538865553,0.7475139325383904,1.8167395833333333,23.332038954953223
