target,input,strategy,fold,r2_raw_count,r2_raw_hellinger,n_train,n_test,seed
salinity,16S,leave_one_site_out,11,0.36618035424400663,0.9163332313754636,1128,89,42
salinity,16S,leave_one_site_out,12,0.5262093556793672,0.9148635402000798,1132,85,42
salinity,16S,leave_one_site_out,13,0.1703057788240434,0.9085768419425957,1133,84,42
salinity,18S,random_kfold,0,0.8491859560756395,0.9368147751240861,973,244,42
salinity,18S,random_kfold,1,0.8062032149929904,0.9091420372098084,973,244,42
salinity,18S,random_kfold,2,0.826116465890576,0.9296999407146683,974,243,42
salinity,18S,random_kfold,3,0.7648059735449493,0.9172789863693334,974,243,42
salinity,18S,random_kfold,4,0.7452367474161844,0.8992241346972113,974,243,42
salinity,18S,temporal_holdout,0,-2.0921618884082958,0.05808316892795562,974,243,42
salinity,18S,temporal_blocked_kfold,0,-107.49119490231591,0.6592629597118889,973,244,42
salinity,18S,temporal_blocked_kfold,1,-201.4012788750002,0.5963786588347344,973,244,42
salinity,18S,temporal_blocked_kfold,2,-276.97714597654493,0.3724621655301311,974,243,42
salinity,18S,temporal_blocked_kfold,3,-1.8073020149788626,0.7270404529660592,974,243,42
salinity,18S,temporal_blocked_kfold,4,-2.0921618884082958,0.05808316892795562,974,243,42
salinity,18S,leave_one_site_out,0,0.4581944086795229,0.8452214197833583,1130,87,42
salinity,18S,leave_one_site_out,1,0.5553033843842463,0.7943234691767123,1133,84,42
salinity,18S,leave_one_site_out,2,0.6028086417983065,0.7317039881185318,1135,82,42
salinity,18S,leave_one_site_out,3,0.046538392708280085,0.6985764481696103,1129,88,42
salinity,18S,leave_one_site_out,4,0.1537585906873975,0.6520711179891525,1129,88,42
salinity,18S,leave_one_site_out,5,-28527.61412726564,-1442.050066350542,1127,90,42
salinity,18S,leave_one_site_out,6,0.6697765771346517,0.862727929132419,1128,89,42
salinity,18S,leave_one_site_out,7,0.5876228524509881,0.9291738913833009,1129,88,42
salinity,18S,leave_one_site_out,8,0.82721986730304,0.8892319120994052,1127,90,42
salinity,18S,leave_one_site_out,9,0.8737187114881165,0.9013688174087845,1130,87,42
salinity,18S,leave_one_site_out,10,0.6605559906861307,0.8980114534606387,1131,86,42
salinity,18S,leave_one_site_out,11,0.7783091397268035,0.8775874709652473,1128,89,42
salinity,18S,leave_one_site_out,12,0.5255981202081492,0.7335059154225,1132,85,42
salinity,18S,leave_one_site_out,13,0.14240438440101066,0.7639914089830205,1133,84,42
salinity,16S+18S,random_kfold,0,0.8922742703803606,0.961742808950036,973,244,42
salinity,16S+18S,random_kfold,1,0.8544990154723946,0.945371705434189,973,244,42
salinity,16S+18S,random_kfold,2,0.857202021417383,0.9586587096833942,974,243,42
salinity,16S+18S,random_kfold,3,0.8489516081982855,0.9499157679030172,974,243,42
salinity,16S+18S,random_kfold,4,0.8084548533259506,0.9413859214189535,974,243,42
salinity,16S+18S,temporal_holdout,0,0.4653155861285845,0.6755268313355927,974,243,42
salinity,16S+18S,temporal_blocked_kfold,0,-49.39027045969987,0.5521895663581875,973,244,42
salinity,16S+18S,temporal_blocked_kfold,1,-127.1389759552321,0.633306866588148,973,244,42
salinity,16S+18S,temporal_blocked_kfold,2,-87.46848621217353,0.8735938122735185,974,243,42
salinity,16S+18S,temporal_blocked_kfold,3,-1.192685995638974,0.8961327889014834,974,243,42
salinity,16S+18S,temporal_blocked_kfold,4,0.4653155861285845,0.6755268313355927,974,243,42
salinity,16S+18S,leave_one_site_out,0,0.5650515765606441,0.8869384388396262,1130,87,42
salinity,16S+18S,leave_one_site_out,1,0.7111540065088982,0.9206986791847636,1133,84,42
salinity,16S+18S,leave_one_site_out,2,0.6590146472103408,0.8545014700284037,1135,82,42
salinity,16S+18S,leave_one_site_out,3,0.5826551592539704,0.8282920058157839,1129,88,42
salinity,16S+18S,leave_one_site_out,4,0.19690983710741128,0.7288739652433467,1129,88,42
salinity,16S+18S,leave_one_site_out,5,-13330.940473186023,-600.171314720398,1127,90,42
salinity,16S+18S,leave_one_site_out,6,0.7406713572850165,0.9225431030217027,1128,89,42
salinity,16S+18S,leave_one_site_out,7,0.7575745169986416,0.9487429798903688,1129,88,42
salinity,16S+18S,leave_one_site_out,8,0.8490389677189901,0.9019310831929109,1127,90,42
salinity,16S+18S,leave_one_site_out,9,0.8935168079658461,0.9281601718646365,1130,87,42
salinity,16S+18S,leave_one_site_out,10,0.7935165544283939,0.9398657973412858,1131,86,42
salinity,16S+18S,leave_one_site_out,11,0.7889783805166807,0.917912366417708,1128,89,42
salinity,16S+18S,leave_one_site_out,12,0.6793327368136617,0.8717394209742186,1132,85,42
salinity,16S+18S,leave_one_site_out,13,0.5103558751245856,0.8973741994156382,1133,84,42
Chl_a_log1p,16S,random_kfold,0,0.5776889876074545,0.7605719337080245,1149,288,42
Chl_a_log1p,16S,random_kfold,1,0.524906936850277,0.7734199526535326,1149,288,42
Chl_a_log1p,16S,random_kfold,2,0.3686484339944318,0.8619450247480249,1150,287,42
Chl_a_log1p,16S,random_kfold,3,0.6524623901096394,0.7944536219256574,1150,287,42
Chl_a_log1p,16S,random_kfold,4,0.5581333166161915,0.7327709524475691,1150,287,42
Chl_a_log1p,16S,temporal_holdout,0,-0.26106977692831834,0.8065526105959888,1150,287,42
Chl_a_log1p,16S,temporal_blocked_kfold,0,-138.38775514685875,0.5558593442480944,1149,288,42
Chl_a_log1p,16S,temporal_blocked_kfold,1,-133.68280491257946,0.5993776042376571,1149,288,42
Chl_a_log1p,16S,temporal_blocked_kfold,2,-0.3314710264898393,0.4395376426273303,1150,287,42
Chl_a_log1p,16S,temporal_blocked_kfold,3,-44.22444907641488,0.21400849323628335,1150,287,42
Chl_a_log1p,16S,temporal_blocked_kfold,4,-0.26106977692831834,0.8065526105959888,1150,287,42
Chl_a_log1p,16S,leave_one_site_out,0,-0.17666160648526286,0.41149291587485215,1337,100,42
Chl_a_log1p,16S,leave_one_site_out,1,-1.0221570129738313,0.10284680403065583,1333,104,42
Chl_a_log1p,16S,leave_one_site_out,2,-0.6417981895957399,0.03402906014834495,1337,100,42
Chl_a_log1p,16S,leave_one_site_out,3,-0.5125927826646097,0.259809217367694,1337,100,42
Chl_a_log1p,16S,leave_one_site_out,4,-0.4795884105612851,-0.017923745285430615,1331,106,42
Chl_a_log1p,16S,leave_one_site_out,5,-44.68472864176441,0.06700900737601145,1334,103,42
Chl_a_log1p,16S,leave_one_site_out,6,0.14870147051834393,0.6148271694998697,1332,105,42
Chl_a_log1p,16S,leave_one_site_out,7,0.5025333785299164,0.7319299254264235,1333,104,42
Chl_a_log1p,16S,leave_one_site_out,8,0.4447626363905618,0.6981024269204843,1335,102,42
Chl_a_log1p,16S,leave_one_site_out,9,0.4564847715715781,0.617548361820575,1333,104,42
Chl_a_log1p,16S,leave_one_site_out,10,0.3103485969914026,0.7577648428001511,1333,104,42
Chl_a_log1p,16S,leave_one_site_out,11,-0.419279814097991,0.5171499213637527,1333,104,42
Chl_a_log1p,16S,leave_one_site_out,12,-1.3641024796053292,0.31708580684483156,1338,99,42
Chl_a_log1p,16S,leave_one_site_out,13,-1.096577402929023,-0.00803320599873647,1335,102,42
Chl_a_log1p,18S,random_kfold,0,0.6848633134468016,0.7345128856906118,1149,288,42
Chl_a_log1p,18S,random_kfold,1,0.6694457083993137,0.7742280263813206,1149,288,42
Chl_a_log1p,18S,random_kfold,2,0.7010879356314111,0.7746950794337634,1150,287,42
Chl_a_log1p,18S,random_kfold,3,0.7537136468051302,0.7829902544119978,1150,287,42
Chl_a_log1p,18S,random_kfold,4,0.3327446569568655,0.6727365546077271,1150,287,42
