emb_target,input,strategy,fold,pred_target,emb_r2,raw_r2,emb_wins,n_test,seed,model_path
temperature,16S+18S,temporal_blocked_kfold,4,Chl_a_log1p,0.7906503081321716,0.1424771547317505,True,244,42,auto
salinity,16S,random_kfold,0,temperature,0.9442175030708312,0.7082347869873047,True,244,42,auto
salinity,16S,random_kfold,0,salinity,0.9745739698410034,0.7628988027572632,True,244,42,auto
salinity,16S,random_kfold,0,Chl_a_log1p,0.7223493456840515,0.4940398335456848,True,224,42,auto
salinity,16S,random_kfold,1,temperature,0.9469845294952391,0.7439578771591187,True,243,42,auto
salinity,16S,random_kfold,1,salinity,0.9646941423416138,0.7300411462783813,True,244,42,auto
salinity,16S,random_kfold,1,Chl_a_log1p,0.6715528964996338,0.5523093938827515,True,233,42,auto
salinity,16S,random_kfold,2,temperature,0.9487596154212952,0.7162866592407227,True,243,42,auto
salinity,16S,random_kfold,2,salinity,0.9778552055358888,0.7328360676765442,True,243,42,auto
salinity,16S,random_kfold,2,Chl_a_log1p,0.7412981390953064,0.6407763957977295,True,227,42,auto
salinity,16S,random_kfold,3,temperature,0.9414352774620056,0.6173872947692871,True,243,42,auto
salinity,16S,random_kfold,3,salinity,0.9679251313209534,0.7655342817306519,True,243,42,auto
salinity,16S,random_kfold,3,Chl_a_log1p,0.7287161350250244,0.5083962678909302,True,224,42,auto
salinity,16S,random_kfold,4,temperature,0.9285067915916444,0.5983654260635376,True,243,42,auto
salinity,16S,random_kfold,4,salinity,0.9562976956367492,0.6160902976989746,True,243,42,auto
salinity,16S,random_kfold,4,Chl_a_log1p,0.6930616497993469,0.3078681826591491,True,227,42,auto
salinity,16S,temporal_blocked_kfold,0,temperature,0.6039121150970459,-10.234696388244627,True,244,42,auto
salinity,16S,temporal_blocked_kfold,0,salinity,0.8967964053153992,-6.554749965667725,True,244,42,auto
salinity,16S,temporal_blocked_kfold,0,Chl_a_log1p,0.6161862015724182,-6.283504962921143,True,241,42,auto
salinity,16S,temporal_blocked_kfold,1,temperature,0.4125527739524841,-6.019210338592529,True,244,42,auto
salinity,16S,temporal_blocked_kfold,1,salinity,0.9298848509788512,-1.1779532432556152,True,244,42,auto
salinity,16S,temporal_blocked_kfold,1,Chl_a_log1p,0.5464184284210205,-0.173436164855957,True,237,42,auto
salinity,16S,temporal_blocked_kfold,2,temperature,0.5265851020812988,0.0330674052238464,True,243,42,auto
salinity,16S,temporal_blocked_kfold,2,salinity,0.8935984373092651,0.2753331065177917,True,243,42,auto
salinity,16S,temporal_blocked_kfold,2,Chl_a_log1p,0.3703744411468506,-5.634173393249512,True,179,42,auto
salinity,16S,temporal_blocked_kfold,3,temperature,-1.309842824935913,-15.950590133666992,True,242,42,auto
salinity,16S,temporal_blocked_kfold,3,salinity,0.9550259113311768,0.6799600124359131,True,243,42,auto
salinity,16S,temporal_blocked_kfold,3,Chl_a_log1p,0.3061642646789551,0.2682362198829651,True,235,42,auto
