target,input,strategy,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,best R2,best MAE,best RMSE,unanimous
Metoprolol,16S,temporal_blocked_kfold,-0.469,22.113,37.439,0.042,18.524,33.198,-0.367,19.802,37.741,0.105,17.053,33.079,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S,leave_one_site_out,-2.048,19.308,29.481,-1.768,15.704,24.267,-2.118,15.591,26.637,-1.702,13.262,21.818,TabPFN,TabPFN,TabPFN,True
Metoprolol,18S,random_kfold,0.264,19.347,33.986,0.368,16.045,31.218,0.333,16.485,32.171,0.468,12.895,28.725,TabPFN,TabPFN,TabPFN,True
Metoprolol,18S,temporal_holdout,0.048,18.06,28.992,0.135,13.125,27.64,0.072,13.458,28.632,0.088,11.997,28.388,RF,TabPFN,RF,False
Metoprolol,18S,temporal_blocked_kfold,-1.251,26.234,45.737,-0.179,21.138,36.189,-0.24,22.589,37.142,-0.02,18.705,35.176,TabPFN,TabPFN,TabPFN,True
Metoprolol,18S,leave_one_site_out,-135.575,38.24,93.637,-2.84,17.748,26.978,-1.696,17.557,26.973,-2.142,14.536,23.2,XGBoost,TabPFN,TabPFN,False
Metoprolol,16S+18S,random_kfold,0.324,17.257,32.54,0.49,13.535,28.212,0.466,13.663,28.836,0.534,11.863,27.044,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S+18S,temporal_holdout,0.177,15.922,26.956,0.238,11.321,25.94,0.192,11.441,26.713,0.065,11.639,28.736,RF,RF,RF,True
Metoprolol,16S+18S,temporal_blocked_kfold,-1.158,24.317,44.922,-0.001,19.249,33.84,-0.398,20.38,37.459,0.114,17.023,32.957,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S+18S,leave_one_site_out,-138.654,33.459,92.147,-1.897,15.733,24.264,-2.322,15.643,25.732,-1.458,13.477,22.074,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,random_kfold,0.071,0.272,0.707,0.118,0.254,0.685,-0.034,0.267,0.73,0.15,0.186,0.678,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,temporal_holdout,-0.011,0.251,0.596,0.056,0.16,0.576,0.038,0.22,0.581,-0.006,0.112,0.594,RF,TabPFN,RF,False
Atrazine,16S,temporal_blocked_kfold,-0.091,0.318,0.677,-0.101,0.276,0.674,-0.104,0.27,0.685,-0.041,0.177,0.631,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,leave_one_site_out,0.053,0.277,0.594,0.078,0.261,0.573,-0.009,0.267,0.627,0.074,0.185,0.553,RF,TabPFN,TabPFN,False
Atrazine,18S,random_kfold,-0.02,0.277,0.738,0.192,0.254,0.661,0.076,0.243,0.704,0.174,0.183,0.669,RF,TabPFN,RF,False
Atrazine,18S,temporal_holdout,-0.012,0.253,0.596,0.012,0.156,0.589,-0.675,0.19,0.767,-0.019,0.106,0.598,RF,TabPFN,RF,False
Atrazine,18S,temporal_blocked_kfold,-0.047,0.304,0.664,-0.204,0.314,0.72,-0.704,0.34,0.885,-0.043,0.181,0.637,TabPFN,TabPFN,TabPFN,True
Atrazine,18S,leave_one_site_out,0.014,0.262,0.589,0.061,0.257,0.564,-0.103,0.253,0.617,0.079,0.183,0.55,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,random_kfold,0.084,0.259,0.706,0.155,0.251,0.672,-0.078,0.25,0.75,0.168,0.183,0.671,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,temporal_holdout,-0.007,0.237,0.594,0.022,0.146,0.586,-0.658,0.218,0.763,-0.014,0.111,0.597,RF,TabPFN,RF,False
Atrazine,16S+18S,temporal_blocked_kfold,-0.058,0.306,0.663,-0.137,0.3,0.702,-0.644,0.331,0.831,-0.046,0.183,0.635,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,leave_one_site_out,0.038,0.249,0.582,0.078,0.255,0.565,-0.059,0.248,0.634,0.08,0.183,0.549,TabPFN,TabPFN,TabPFN,True
