,,,R2,R2,R2,R2,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE
,,,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN
target,input,strategy,,,,,,,,,,,,
salinity,16S,leave_one_site_out,-44.4136,-26.3063,-21.9691,-8.2956,1.95,1.044,0.982,0.674,2.592,1.419,1.337,0.975
salinity,16S,random_kfold,0.6971,0.9505,0.9521,0.9702,1.899,0.77,0.774,0.513,,1.151,1.132,0.893
salinity,16S,temporal_blocked_kfold,-1.6188,0.894,0.9109,0.9225,3.607,1.127,1.024,0.901,6.333,1.538,1.415,1.314
salinity,16S,temporal_holdout,0.4462,0.9204,0.9251,0.9247,2.347,0.823,0.758,0.783,3.255,1.234,1.197,1.201
salinity,16S+18S,leave_one_site_out,-1728.6179,-29.9356,-22.8293,-13.9414,2.5,1.086,1.015,0.721,4.895,1.459,1.36,1.041
salinity,16S+18S,random_kfold,0.8038,0.9489,0.9511,0.9706,1.544,0.794,0.772,0.514,,1.172,1.144,0.885
salinity,16S+18S,temporal_blocked_kfold,-35.9136,0.8907,0.9091,0.9295,7.916,1.163,1.062,0.857,20.948,1.557,1.426,1.249
salinity,16S+18S,temporal_holdout,-0.1872,0.9159,0.91,0.9344,3.072,0.855,0.913,0.699,4.766,1.269,1.312,1.121
salinity,18S,leave_one_site_out,-1532.8187,-60.1234,-55.9923,-35.1616,2.661,1.45,1.38,1.046,5.099,1.934,1.843,1.436
salinity,18S,random_kfold,0.7592,0.9167,0.9265,0.953,1.699,1.031,0.97,0.732,,1.505,1.411,1.124
salinity,18S,temporal_blocked_kfold,-59.888,0.8254,0.8434,0.8772,10.274,1.525,1.453,1.268,24.952,1.973,1.872,1.659
salinity,18S,temporal_holdout,-1.342,0.8949,0.8774,0.9017,4.225,1.11,1.161,1.073,6.694,1.418,1.532,1.371
temperature,16S,leave_one_site_out,0.6005,0.906,0.9135,0.9552,2.768,1.07,1.067,0.755,3.866,1.448,1.433,1.006
temperature,16S,random_kfold,0.6746,0.9662,0.9687,0.9852,2.578,0.815,0.814,0.565,,1.147,1.105,0.763
temperature,16S,temporal_blocked_kfold,-22.145,-0.0069,0.1375,0.5054,7.372,2.2,2.009,1.319,12.228,2.737,2.497,1.709
temperature,16S,temporal_holdout,-16.3173,0.0076,0.316,0.6336,5.807,1.823,1.512,1.088,9.473,2.268,1.883,1.378
temperature,16S+18S,leave_one_site_out,0.5075,0.9499,0.9423,0.9738,2.035,0.917,0.959,0.652,3.472,1.22,1.24,0.873
temperature,16S+18S,random_kfold,0.8368,0.9707,0.9725,0.9863,1.705,0.772,0.764,0.552,,1.075,1.039,0.735
temperature,16S+18S,temporal_blocked_kfold,-400.4392,-0.9972,-0.6261,0.5698,17.947,3.071,2.812,1.315,48.484,3.76,3.418,1.648
temperature,16S+18S,temporal_holdout,-44.9346,0.2615,0.3719,0.6345,7.835,1.623,1.482,1.09,15.428,1.956,1.804,1.376
temperature,18S,leave_one_site_out,-0.6217,0.9492,0.9516,0.9807,2.671,0.926,0.964,0.614,5.457,1.358,1.299,0.817
temperature,18S,random_kfold,0.75,0.9584,0.9637,0.985,1.913,0.862,0.862,0.574,,1.279,1.194,0.768
temperature,18S,temporal_blocked_kfold,-214.3508,-0.524,-0.299,0.5629,13.183,2.81,2.595,1.35,32.558,3.363,3.117,1.711
temperature,18S,temporal_holdout,-95.1117,0.3638,0.0458,0.7227,10.773,1.439,1.804,0.954,22.316,1.816,2.224,1.199
