target,k,site,n_pairs,n_dropped_gap,n_distinct,pct_zero,pearson,spearman,usable
Chl_a,3,Schmarl-Dorf / IGA-Park,89,9,82,0.0,0.003217701060295118,0.3510180976343193,True
Chl_a,3,Schwimmhalle Gehlsdorf,93,3,80,0.0,0.42612749121867116,0.438060063530746,True
Chl_a,3,Stadthafen Rostock,94,2,89,0.0,-0.0390488599478843,0.27492856394744825,True
Chl_a,3,Steilkueste Nienhagen,87,3,78,0.0,0.018187062345143765,0.13664304755103016,True
Chl_a,3,Warnemuende Strand,92,2,84,0.0,-0.07360209455912137,-0.033855852523197394,True
Caffeine,1,Boergerende Strand,88,0,71,0.0,0.3386837188306912,0.4386614644971175,True
Caffeine,1,Diedrichshagen,86,1,68,0.0,0.25981353920341976,0.3848654565743349,True
Caffeine,1,Elmenhorst Strand,90,1,70,0.0,0.25368163037033437,0.4334606866134056,True
Caffeine,1,Jemnitzschleuse,85,1,68,0.0,0.14970141474438148,0.36298598488803346,True
Caffeine,1,Mittelmole Warnemuende,80,1,70,0.0,0.312860340197851,0.661755052281146,True
Caffeine,1,Muehlendamm,86,1,77,0.0,0.6626209016804968,0.6825161695197496,True
Caffeine,1,Neptun-Werft,78,1,68,0.0,0.41678389094744334,0.4803844694958608,True
Caffeine,1,Parkplatz zur Warnow,82,1,76,0.0,0.5079685628411381,0.4570725761078786,True
Caffeine,1,SAB Marina Bramow,86,1,84,0.0,0.4563705284437635,0.5787929391563594,True
Caffeine,1,Schmarl-Dorf / IGA-Park,81,1,76,0.0,0.4972781307768177,0.494520385528827,True
Caffeine,1,Schwimmhalle Gehlsdorf,83,0,75,0.0,0.5386186771474545,0.6275216744670423,True
Caffeine,1,Stadthafen Rostock,86,0,83,0.0,0.5691729556375987,0.6298983418708198,True
Caffeine,1,Steilkueste Nienhagen,88,1,70,0.0,0.16284993121103844,0.3638633701214625,True
Caffeine,1,Warnemuende Strand,86,0,69,0.0,0.23253683186204988,0.511751466284816,True
Caffeine,2,Boergerende Strand,85,0,69,0.0,0.3043703230047788,0.2922457436619168,True
Caffeine,2,Diedrichshagen,81,2,66,0.0,0.2284632461106053,0.4372317596845394,True
Caffeine,2,Elmenhorst Strand,85,2,67,0.0,0.13342644123237118,0.32887450991501843,True
Caffeine,2,Jemnitzschleuse,79,2,64,0.0,0.050709735604305174,0.17403504927795135,True
Caffeine,2,Mittelmole Warnemuende,76,2,67,0.0,0.33529824573860717,0.4602995563501795,True
Caffeine,2,Muehlendamm,81,2,73,0.0,0.6137896081333617,0.6142210226759418,True
Caffeine,2,Neptun-Werft,75,2,67,0.0,0.35695509515194135,0.42313902622260496,True
Caffeine,2,Parkplatz zur Warnow,79,2,72,0.0,0.5215111246047864,0.3943654257043223,True
Caffeine,2,SAB Marina Bramow,81,2,79,0.0,0.2871635788757953,0.4775853113213938,True
Caffeine,2,Schmarl-Dorf / IGA-Park,76,3,73,0.0,0.5064168525216676,0.4449396420905847,True
