target,input,strategy,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,best R2,best MAE,best RMSE,unanimous
Metoprolol,18S,temporal_holdout,0.0484,18.06,28.992,0.1351303882880385,13.125398528909558,27.64008426693531,0.0719671550898807,13.458418228267242,28.63160654236653,0.0877,11.997,28.388,RF,TabPFN,RF,False
Metoprolol,18S,temporal_blocked_kfold,-1.251,26.234,45.737,-0.1789062216486445,21.13796283709592,36.18865643369744,-0.2403994354742584,22.589194921040995,37.14180763568693,-0.0199,18.705,35.176,TabPFN,TabPFN,TabPFN,True
Metoprolol,18S,leave_one_site_out,-135.5747,38.24,93.637,-2.840061461261049,17.747572025199794,26.97769439111886,-1.6957084698176923,17.556770860015224,26.97256237389983,-2.1418,14.536,23.2,XGBoost,TabPFN,TabPFN,False
Metoprolol,16S+18S,random_kfold,0.3235,17.257,32.54,0.4902641455379238,13.534795008977062,28.21183694778572,0.4664098280115817,13.66313271397529,28.836057897956643,0.5342,11.863,27.044,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S+18S,temporal_holdout,0.1774,15.922,26.956,0.2382390609887595,11.321202755182693,25.94020438132827,0.1921714244811292,11.44124937536173,26.713060611747103,0.0652,11.639,28.736,RF,RF,RF,True
Metoprolol,16S+18S,temporal_blocked_kfold,-1.1582,24.317,44.922,-0.0012342847845778,19.24893754700416,33.83996814479478,-0.3978849656414506,20.38025820388708,37.45914038842212,0.1139,17.023,32.957,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S+18S,leave_one_site_out,-138.65381212461023,33.45868046116373,92.1472382338734,-1.896988546938768,15.733096493851113,24.26449534146869,-2.32194259557856,15.642791833028095,25.73207173805528,-1.4579,13.477,22.074,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,random_kfold,0.0714,0.272,0.707,0.1182,0.254,0.685,-0.0342,0.267,0.73,0.1497,0.186,0.678,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,temporal_holdout,-0.0111960048901604,0.2505667664597529,0.5956985970643283,0.0557777330032591,0.1603172526693046,0.5756334511779793,0.038222032063556,0.2198549715296704,0.5809601140611066,-0.0057,0.112,0.594,RF,TabPFN,RF,False
Atrazine,16S,temporal_blocked_kfold,-0.091,0.318,0.677,-0.1012,0.276,0.674,-0.1045,0.27,0.685,-0.0412,0.177,0.631,TabPFN,TabPFN,TabPFN,True
Atrazine,16S,leave_one_site_out,0.0531370010509077,0.2771170801228036,0.5936870063391613,0.0779393749051113,0.2609440571450002,0.572576368473092,-0.0090375486982584,0.2668756039827311,0.6270212232791973,0.0736,0.185,0.553,RF,TabPFN,TabPFN,False
Atrazine,18S,random_kfold,-0.0204285906855933,0.2769570103915296,0.7382041947354747,0.1917346742192498,0.2536688647035192,0.6610715462829118,0.0764959586050809,0.242890714409646,0.7038612084719169,0.1745,0.183,0.669,RF,TabPFN,RF,False
Atrazine,18S,temporal_holdout,-0.0118585254252219,0.252540144204419,0.595893711526939,0.0124126514308382,0.1558042230269518,0.5887035621086925,-0.6748263023538745,0.190392710534177,0.766644088216105,-0.0194,0.106,0.598,RF,TabPFN,RF,False
Atrazine,18S,temporal_blocked_kfold,-0.0468018714086845,0.3039529503242832,0.6638995578169637,-0.2041696515069376,0.3143267671801804,0.7202900118453052,-0.7043209630998695,0.3400559125872801,0.8853066498252466,-0.0432,0.181,0.637,TabPFN,TabPFN,TabPFN,True
Atrazine,18S,leave_one_site_out,0.0139498266060275,0.2615474287157914,0.5886046357411114,0.0610268489154806,0.2571197699598916,0.5636002959633796,-0.1033562789985157,0.2530305730923778,0.6169624314389613,0.0789,0.183,0.55,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,random_kfold,0.0837103295237353,0.2588590005118399,0.7056394422329776,0.1549416425309711,0.2510816829397958,0.672029585575534,-0.0775713887719967,0.2501818041201658,0.7495615480653783,0.168,0.183,0.671,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,temporal_holdout,-0.0068082069809454,0.2369411488168573,0.5944047595289487,0.0219251853157023,0.1463122810485714,0.5858614778053977,-0.6575601835112159,0.2178505016043204,0.7626821070396707,-0.014,0.111,0.597,RF,TabPFN,RF,False
Atrazine,16S+18S,temporal_blocked_kfold,-0.0581127303103185,0.3057221535394886,0.6628339983763001,-0.1368403737025253,0.2995272792566614,0.7018545661772011,-0.6436379808183705,0.3309438066862046,0.8310749057195996,-0.0455,0.183,0.635,TabPFN,TabPFN,TabPFN,True
Atrazine,16S+18S,leave_one_site_out,0.0378774607423357,0.2492611243088688,0.5820932634537466,0.0784577605918458,0.2549821040129217,0.5646213045692837,-0.0591190955597637,0.248089324788326,0.6342088864869055,0.0796,0.183,0.549,TabPFN,TabPFN,TabPFN,True
