r2,rmse,mae,features,model,target,input,strategy,fold,n_train,n_test,seed,model_path
0.4653155207633972,3.1983171806570305,2.2603585720062256,raw,ridge,salinity,16S+18S,temporal_holdout,0,974,243,42,...
0.7973194122314453,1.9691501997836176,1.5250581502914429,raw,knn,salinity,16S+18S,temporal_holdout,0,974,243,42,...
0.8991718292236328,1.5361236552591806,1.1921576261520386,embedding,ridge,salinity,16S+18S,temporal_blocked_kfold,0,973,244,42,...
0.8616058826446533,1.799674465624397,1.3707988262176514,embedding,knn,salinity,16S+18S,temporal_blocked_kfold,0,973,244,42,...
-49.390296936035156,34.34065933829842,12.813420295715332,raw,ridge,salinity,16S+18S,temporal_blocked_kfold,0,973,244,42,...
0.7679280638694763,2.330485843054824,1.6768161058425903,raw,knn,salinity,16S+18S,temporal_blocked_kfold,0,973,244,42,...
0.9368913769721985,1.153292611198866,0.8519485592842102,embedding,ridge,salinity,16S+18S,temporal_blocked_kfold,1,973,244,42,...
0.9200895428657532,1.2977675618126319,0.9660645127296448,embedding,knn,salinity,16S+18S,temporal_blocked_kfold,1,973,244,42,...
-127.13893127441406,51.96796780454644,21.147403717041016,raw,ridge,salinity,16S+18S,temporal_blocked_kfold,1,973,244,42,...
0.6920207142829895,2.547744789678939,1.9553078413009644,raw,knn,salinity,16S+18S,temporal_blocked_kfold,1,973,244,42,...
0.9004839658737183,1.617518073309699,1.1260910034179688,embedding,ridge,salinity,16S+18S,temporal_blocked_kfold,2,974,243,42,...
0.887628436088562,1.7188214373914688,1.2076468467712402,embedding,knn,salinity,16S+18S,temporal_blocked_kfold,2,974,243,42,...
-87.46858978271484,48.227769226964824,11.221075057983398,raw,ridge,salinity,16S+18S,temporal_blocked_kfold,2,974,243,42,...
0.6495915651321411,3.035218148600645,2.2366175651550293,raw,knn,salinity,16S+18S,temporal_blocked_kfold,2,974,243,42,...
0.9611188173294067,0.9655272807826071,0.5845428705215454,embedding,ridge,salinity,16S+18S,temporal_blocked_kfold,3,974,243,42,...
0.9596450328826904,0.9836562726887046,0.5893714427947998,embedding,knn,salinity,16S+18S,temporal_blocked_kfold,3,974,243,42,...
-1.1926860809326172,7.250750009613095,4.425759315490723,raw,ridge,salinity,16S+18S,temporal_blocked_kfold,3,974,243,42,...
0.7765778303146362,2.3145034977706618,1.8331577777862549,raw,knn,salinity,16S+18S,temporal_blocked_kfold,3,974,243,42,...
