target,input,strategy,r2_mean,mae_mean,rmse_mean,model
salinity,16S,temporal_holdout,0.9251,0.758,1.197,XGBoost
salinity,16S,temporal_blocked_kfold,0.9109,1.024,1.415,XGBoost
salinity,16S,leave_one_site_out,-21.9691,0.982,1.337,XGBoost
salinity,18S,temporal_holdout,0.8774,1.161,1.532,XGBoost
salinity,18S,temporal_blocked_kfold,0.8434,1.453,1.872,XGBoost
salinity,18S,leave_one_site_out,-55.9923,1.38,1.843,XGBoost
salinity,16S+18S,temporal_holdout,0.91,0.913,1.312,XGBoost
salinity,16S+18S,temporal_blocked_kfold,0.9091,1.062,1.426,XGBoost
salinity,16S+18S,leave_one_site_out,-22.8293,1.015,1.36,XGBoost
Chl_a_log1p,16S,temporal_holdout,0.7204,0.356,0.482,XGBoost
Chl_a_log1p,16S,temporal_blocked_kfold,0.6056,0.402,0.546,XGBoost
Chl_a_log1p,16S,leave_one_site_out,0.3148,0.32,0.467,XGBoost
Chl_a_log1p,18S,temporal_holdout,0.8127,0.291,0.394,XGBoost
Chl_a_log1p,18S,temporal_blocked_kfold,0.6503,0.374,0.517,XGBoost
Chl_a_log1p,18S,leave_one_site_out,0.3211,0.321,0.462,XGBoost
Chl_a_log1p,16S+18S,temporal_holdout,0.8117,0.293,0.395,XGBoost
Chl_a_log1p,16S+18S,temporal_blocked_kfold,0.6642,0.363,0.504,XGBoost
Chl_a_log1p,16S+18S,leave_one_site_out,0.3597,0.309,0.45,XGBoost
temperature,16S,random_kfold,0.9687,0.814,1.105,XGBoost
temperature,18S,random_kfold,0.9637,0.862,1.194,XGBoost
temperature,16S+18S,random_kfold,0.9725,0.764,1.039,XGBoost
salinity,16S,random_kfold,0.9521,0.774,1.132,XGBoost
salinity,18S,random_kfold,0.9265,0.97,1.411,XGBoost
salinity,16S+18S,random_kfold,0.9511,0.772,1.144,XGBoost
Chl_a_log1p,16S,random_kfold,0.7634,0.306,0.455,XGBoost
Chl_a_log1p,18S,random_kfold,0.7533,0.315,0.466,XGBoost
Chl_a_log1p,16S+18S,random_kfold,0.7731,0.297,0.446,XGBoost
